Quests	Misc	Status	Props	Name	World ID	Size / Type	Description
		Portal	234	Build Team	3966990295842757119		
		Portal	764	Cadeliwyr	2847130191264664707	Massive World	
		Portal	13,220	CEBEP	1077703071304863252		Nice world
		Portal	162	Chikuwa Parfait	2405209743480404656		
		Portal	1274	Cirrus	73818847727746364		
		Portal	1882	Cosmic Kitten	8080276605917141285	Small World	nice spawn + large buildings
		Portal		Courtyard / Casual Melody	8091774392437989829		
		Portal	490	Crazy Army	5868582502256709587		
		Portal	1644	Cream Puffs	8931927701333404293	Large World	Large angel statue and garden
	Music	Portal	361	Creator and Ninja / VANs Deep Dark Fantasy	7353099667009456439	Large World	
		Portal	1,680	Cubed Reality	9149323916611902605		Nice world. Lots of floating islands
		Portal	98	CyberNova	8639932278907854840	Large World	
	Music	Portal		Dark Shadow Ninja	3601393939197941482		Chrono Trigger Music Piece
		Portal	2118	DPHQ	4887863847510767396		
		Portal	13,785	Dragon	8258680891443736360	Massive world	
		Portal	847	Dream Traveler	1350954963841485517		Large statue at spawn
		Portal	808	EasyMyLife	899340217597084359		
		Portal	55,342	Edge of Abyss	7553170355418938095		
		Portal	386	Eeveelution	3751977193527180266	Small World	Giant Eevees and Kirbys
		Portal	5882	Empyrium	7139276071266995963		
		Portal	4904	Fallen Q Gods	4064204676708779620		
		Portal	1584	Fantasy Dimension	631836499003084591		
							
	Music	Portal	350	Feeders Rift / The Origianl 151	127284820281295148	Pokemon Recreation / Has Pokemon Music	
		Portal	223	FLHRY	8016171362486657708		Taiwanese Club / Large Ship
	Club Portals	Portal	5,919	Flux City	9197957619687907713	Large World	
		Portal	8825	Forbidden Legend	2644331136552472422	Large World	
		Portal	1083	ForFluxSakes	1771766932098781096	Large World	
		Portal		Fox World	1460433982675930308	Beta Club World	
		Portal	1210	Freak Land	1680996750096553075	Large World	
		Portal	3329	Frontline Ace	5260869473227995550		
		Portal	2888	GameVN	6203681502820440804	Large World	
	Club Portals	Portal	19,562	GAOTU	6308253464052055889		
		Portal	117	Gents in Black	5595771150309140370	Super cool club. Twin dragons at spawn	
	Club Portals - What a psycho	Portal	475	Gimme The Loot	6867477936805384308		
		Portal	2466	Good For Us	7742751624695952333	Large world	
	Music	Portal	78,293	GoogleTranslate	8103043873280053461	Large World	
		Portal	2830	Heaven Unchained	2051895800902564143		
		Portal	593	Hell in a cell	4774425449862832181		
		Portal	6845	Hoo_Manor	5333092885989690215		
		Portal	7862	InfamousIndustries	8779373247786073317		
		Portal	769	InfiniteTailedDragons	5136802558274356429	Large World. Spawn is underwater.	
		Portal	1395	Ione PieceI	7043902422010733679		
		Portal	4244	ItalianWarLords	8126685282103683819	Small World	nice spawn. Nothing else
		Portal	656	J YUE	4386388505553843844		
	Club Portals & Music	Portal	2240	Japan Club	5284651900413270695	Lots of art and builds	
		Portal	7964	Kingdom of Aedirn	2965303569132285754		
		Portal	195	Kingdom of Ancestral Dragons	4232046127559425294	Medium World	few large builds
				LittleNeverCrazy			
		Portal	179	KLite	7963661362900204609		
		Portal		Krieger Des Lichts	2829681680696937115		
		Portal	1097	La Locanda / Climate	372763620022624668	Large World	
		Portal	1956	LaFrenchSquad / Zramana	2442837542029338531	Large World	lots of large builds
	Music	Portal	1349	lardeurland	3958866761346521842	Small World	French Club
		Portal		Legacy (Previously Debt)	5940352995942482280	Small World	Nice Spawn
		Portal	1394	Legacy of Baguette	2002006297517623471		
		Portal	30,232	Legalize Sunlight Bulbs	9222373565414419135		
		Portal	42,991	Legendary Studios / LoLuMaD	2559472351451169524	Large World	
		Portal	4948	lnfluence	6002340311884625611	Small World	Nothing of Note
		Portal	6,980	Luminous Kingdom / Luxion	1539001164675402774	Large World	
		Portal	153	Lunar Paws	6227744461805400144		
		Portal	379	Menylutia	2878253954768579799	Small World	really nice spawn
	Music	Portal		Midnight Garden	6938725246262166518		
	Music	Portal	1446	Monkey	708203752588594159		Portal - 'Still Alive'
		Portal	1151	Moon / Corruxion	2880511950373290377	Large World	Nice Spawn, not much else
		Portal	1746	Mortalise	7338196006297346387		
		Portal	124	muirypme	9175679221856696968		
		Portal		My Aero Brothers	8071413253003948070		LittleNiceAZ's Club World
		Portal		Nat Neo Gamer Regiment	5397295115369304278		MajorTom's world. Music and Art
		Portal	57	Neutral Town / Zelda Recreation of Time	2616086146569391447		Zelda OoT Recreation
		Portal	495	New Kanto	1650648965491108400	Large World	A Pokemon Blue/Red recreation. Unfinished.
	Club Portals	Portal	2200	New Leaves / NL Legacy	3018992989764776132		
		Portal	567	ninjas del viento	5055417587999070962	Large World	
	Music	Portal	3040	FK Dog Squad	579701915931917024		
		Portal		Novaroma	3349287417537626898		
	Music	Portal	4046	O R I E N T / HappyTree Friends / DLMU	6517661167480690448	Large World	lots of traditional asian buildings, swords and dragons. Super cool club.
		Portal	1165	Ok	2333138545397078600		
		Portal	1764	Old Fairy Tail	7724859533375879320		
		Portal		OwieBooBoo	3649305846362183845	Large World	
		Portal	356	Palamecia	8846979617098470417		
		Portal	2099	Picaluminny / Interstellar / Above The Earth / Guardians Of The Eternal Star	3010610950104130190	Small World	Large sakura tree and building
		Portal	666	Pixel Hubris	3990519187846909282	Large World	
		Portal	4504	Radiant Utopia	6840393079339744567		
		Portal		Realm Between	64878888138902333		
		Portal	1547	RG	2984721694764205548		
		Portal		Rylabs Station 11	8684137818799299252		
		Portal	1694	Sanlop	8640474652776404484		
		Portal	3530	Saphilia	5798466842969815962		
		Portal	1297	Second Frontier	3357678359373431679	Massive world	
	Music?	Portal	2473	Shadow Crown	3280079369956916338	Large World	Pixel art, music, large black rock shooter pixel art
		Portal	396	Shadowflowers	4566301275208107519	Large World	like a very large garden
		Portal	7977	Shangri Ia	2965613762196266524		
		Portal	138	Shape Of Water	8758392445510031690		
		Portal	72	Silver Millennium	587090336091249681		
		Portal	2,863	Six	2890287571602754072		
		Portal	2663	SkyForgia	274490062367786635		
		Portal	830	Sleepless Slumber	1503969649226592127		
	Music	Portal	1002	Solar Sanctuary	5553165730788089899		
	Music	Portal	8984	Spirited Away	7763665422391785359	Large World	Large Builds and Pixel Art
		Portal	1461	SpiritWolf	3497412482956855635	Large World	JenniferWolf's Club World
		Portal	1822	Strangeland	4400510055008767555	Large World	
		Portal	566	Taiwan Taipei Club / 台灣台北Suki	13677096671128776		Realm of the Mad God art
		Portal	2028	TaiwanN01 / The Magnificent Taiwan	7411027279611949172	Large World	Nice Spawn
		Portal	1931	TH1CC / Viral / Off Beat	2842888290360881773	Large World	
		Portal	580	The Cold Wind	8829280056180274183		
	Music	Portal	1026	The Deadly Nation	7985869138410230112	Large World	
	Music	Portal	827	The Dosco	693578605956816301		Bad Apple
		Portal	1519	The Hooker Bay	4233929029563488539		Pirate themed world. Ships and stuff
	Club Portals	Portal	1832	The Jedi Academy / Disneyland	5603977851807356847		
		Portal	2217	The Korea	4960732710781697074	Small World	Nice Spawn Hub
		Portal	7,272	The Lunar Sanctum	458190832642850028		
	Music	Portal	137	The Otaku	5676884402381401722	Small World	
	Music	Portal	86,261	The Trovian Maestros	2704399765038298724		
		Portal	10,019	The Trovians	8954495474117597530		
		Portal	574	The Whole Enchilada	3871617226197393967		
	Club Portals	Portal	873	The Wonder of Trove	658897302480970869		
			423	Times House	6979058295997433891		
	Music	Portal	727	Tranquility and Revolution	6352256069963755208	Small World	Small ships; Pistol shaped launcher
	Music	Portal	3663	Treasure X Hunter / 香港 / Hong Kong Port	7250759797649278964	Music loop near spawn (Senbonzakura One Thousand Cherry Trees)	Pixel Art, and some large buildings
		Portal	114	Trove Polska Elita	535443219433072158	Small World	Nice Spawn
		Portal	119	Trove Puzzle Society	9159834406754105873		Questionable Puzzle
		Portal	11,593	TroveSpain/TeleportToLair	1088912456505714245		Large builds / spiral fountain
		Portal	6855	TTC-Academia / Trove Thailand Community	6594583845344180249		
		Portal	1014	龙 / Dragon	6300227544145924141		
	Club Portals	Portal	9367	Twisted Tranquility	6039770462180818582		
		Portal	38	UHaulTrailer	7263981691076768787		Pirate themed club. Lots of ships and islands
		Portal	137	Unboxing / Arcadia-Beta	6124376876285919697	Large World	
		Portal	6880	Unleashed Phoenix	614788687204007871		
		Portal	6054	Vanta Black	3249255962258837193	Large World	
		Portal	1,108	Vape	967576318286138381	Medium World	Lots of large builds
		Portal	15,410	Varros	4019039959989563217		Incrediblely large stone statues everywhere
		Portal	1395	Vertu / Hexakosioihexekontahexaphobia	5648188054026923730	Medium world	Large castle at spawn
		Portal	11,963	VietNamLovely	5375430000933610834	Large World	
		Portal	1409	VileScallyWags	7006672360936488976		Large Ship Builds
	Club Portals 	Portal	62,280	Voxel Busters	4052790181173099611		
		Portal	6639	Vyra	7659055133512263940		
		Portal	195	Wadu	3709749840680131494		
	Music	Portal	219	Wind Temple	2212835638622957083		Bad Apple Song
		Portal	2141	WolNetwork	5707923002980944090	Small World	
		Portal	2646	World of Peace	2310808546539779679		Asian styled club with dragons
		Portal	2336	Wutanfall	5870000026467759403		
		Portal	9539	Zenovia / Sylphid	5618674888227955820		
	Music & Portals	Portal	442	Zerocktol	4964032722323934848	Small World	
		Portal	115	α	4906827245613283413		
		Portal	1327	呆丸缺no #1 / Taiwan Channel	868179680335390161	Small World	Nice Spawn
		Portal	1785	屿之海 / Sea of Islands	3524895597707753819		
	Music	Portal	428	左岸の咖琲館 / Left Bank Cafe	7684281058215799160		
	Stolen buildings.	Portal	214	御狼阁 / Royal Wolf Pavilion	1523591358595857722		
			61	母湯熊 / Soup Bear	6929350170897202125	Small World	
		Portal	392		3440279170414875928		
	Music	Portal	2471		436429449120800080		
							
	x	x	x	-KeyTun-	97541051480113795	Empty World	
		x	104	... / Suntouched Alliance	2338516434441401949	Small World	Nothing of Note.
	x	x	x	{0}	4407264363393230775	Small World	Nothing of Note
	x	x	x	@BuildModTool_Usage	3302104981901238897	Empty World	Empty World
	x	x	x	@ClubWorldNameFormat	8788797429240386974	Small World	Nothing of Note
	x	x	x	*O*	Redirects to Hub	Redirects to Hub	
	x	x	x	=FoxWorldRussia=	58558210786341004	Small World	Nothing of Note
	x	x	x	0Heart0	Vault World	Vault World	
	x	x	x	1Dragonlife16	1847516046809911256	Medium World	Nothing of Note
	x	x	180	1owners1	6637878097557980527	Medium World	Nothing of Note
		x	5	3mperor 0f the 4TL4S	8765470011755459750	Small World	Nothing of Note.
		x	28	69ners	1157291222002866526	Small World	Nothing of Note
		x	30	7174N5	5624486276293989529	Small World	Nothing of Note
	x	x	56	80085	8795329508496232681	Small world	Nothing of note
	x	x	419	A Nebulous Trove	3459753957269558677	Small World	Nothing of Note
	x	x	x	A small band of friends	3555031131315759547	Small World	Nothing of Note
		x	4	Abyss	5274353597403250688	Small world	Nothing of note
	x	x	91	Adorable Kittens	2766922193408326473	Small World	Nothing of Note.
	x	x	x	Adventure Time	2604672442084288028	Small World	Nothing of Note
	x	x	5	Adventure Time	6815887498732799135	Small World	Nothing of Note; Megaman Pixel Art
	x	x	x	Adventure World Of Friends	3947636692756456024	Empty World	
	x	x	x	AESIRR	8842072977846517413	Empty World	
		x	786	Aeyoon	5492833734395826264	Medium World	Nothing of Note
	x	x	9	Againen	6230408335022932426	Small World	Nothing of Note
		x		AimHigh	9043089494735567945	Small World	Nothing of Note.
	x	x	x	Airpods	7519993520561382532	Small World	Nothing of Note
	Club Portals	x	647	Alcacia	651995555996570082		
	x	x	x	Aliance of Annihilators	3774535423337787809	Empty World	Empty World
	x	x	x	Alice in Wonderland Trove Edition	Museum World	Museum World	
	x	x	6	Alices Rabbit Hole	6452405249998427971	Empty World	Empty World
	x	x	x	aliez	5514803476798880623	Empty World	
		x	43	Alpha Builders	5466525013445308201	Small World	Nothing of Note.
	x	x	x	Altaria	3115675423555492156	Empty World	x
		x		AM 2 PM	7033129596183123975	Small World	Nothing of Note
	x	x	x	Amphibious	816515988918793247	Small World	Nothing of Note
	x	x	31	AnarKho Family	6429846125615904074	Large World	Nothing of Note
	x	x	x	Andy	1345241641360770761	Small World	Nothing of Note; Pixel Art
		x	161	Angelus Mortis	9155918231446821311	Small World	Nothing of Note.
	x	x	x	Anik A7md	Vault World	Vault World	
	x	x	29	AniManga	3492825221684750173	Small World	Nothing of Note
	x	x	x	Anko JP	4185441372016847843	Small World	Nothing of Note
	x	x	x	AON Trove Division	3540086233850243930	Small World	Nothing of Note
	x	x	648	Aotearoaville	7753014281203091185	Small World	Nothing of Note
		x	6	Apriil2212	6073283735924579086	Empty World	
	x	x	13	Ara Rauko	7023888540073512929	Small World	Nothing of Note.
	x	x	35	Arcade Party	240267132347219896	Small World	Nothing of Note
	x	x	1052	Aria of Valor	6283799594806957420	Small World	Nothing of Note
	x	x	x	Arie Sanctuary	2438258605214390632	Small World	Nothing of Note.
	x	x	x	Arigato	1788460022409218972	Empty World	Empty World
	x	x	x	Army Rpyal	2417944785338834600	Small World	Nothing of Note.
	x	x	x	Arrowpocalypse	4732679620375970489	Small World	Nothing of Note
		x	7	Artists Club	5793845427309874174	Small World	Nothing of Note
		x		Ascended	5970397573528629427	Small World	Nothing of Note.
		x		Astral Club	93942444898215837	Empty World	
		x		Astral Sea	570015626193547047	Small World	Nothing of Note.
		x		Astralis 1	2917447864007066315	Small World	Nothing of Note.
	x	x	x	Athenvia	Museum World	Museum World	
	x	x	x	Athenvias	Museum World	Museum World	
	x	x	14	Atlantis Reborn	5630810307208652215	Small World	Nothing of Note
	x	x	x	Atoll of Madness	Vault World	Vault World	
		x		Atomic Ding Dong Expanders	8131137363257938777	Small World	Nothing of Note.
		x		Aurora Escarlate	5075771730300312095	Empty World	
		x		Avatar's Build Club	4294342605119483842	Small World	Nothing of Note.
	x	x	7	Avocado	5456714582995030822	Small world	Nothing of note
		x		Ayy Lmao	2004406572504151336	Small World	Nothing of Note
	x	x	x	Azteca	531258176105997634	Small World	Nothing of Note
		x		Azuras Garden	2920747091843965191	Large World	Nothing of Note.
	x	x	3	b ready	7079040202360313877	Small World	Nothing of Note
		x		Ba Sing Se	670080763364492232	Small World	Nothing of note ; Griefed / Destroyed World
		x		BaHoiGang	3304417404574859284	Small World	Nothing of Note
	x	x	8	Baka Style	4317676796354140028	Small World	Nothing of Note
	x	x	2216	Banaan Paradise	7066596044282056392	Medium World	Nothing of Note
	x	x	34	Barrito Bunga	1648022586237190359	Small World	Nothing of Note.
	x	x	x	Bat World	2248336558003539588	Small world	Nothing of note
	x	x	2	Battle Team 121	5960797311143444816	Small World	Nothing of Note
	x	x	x	BBT	The World was not found	The World was not found	
	x	x	x	BeanWorks	Vault World	Vault World	
		x		BEEmyTGG	2073237550455190808	Bot World	
		x		BenBi	5139505824373918891	Small World	Nothing of Note
	x	x	x	Beneficial Rain	3498042534771168104	Empty World	
		x		Berserkers2016	9150838557056078820	Small World	Nothing of Note.
		x	2707	Best Club NA	8754614855357695290	Medium World	Nothing of Note
	x	x	x	Best Dragons	4742416333281922163	Empty World	
	x	x	x	Best of Czech Republic	Vault World	Vault World	
	x	x	x	Best teemo in the world	6938957982199149023	small world	nothing of note
		x		Betax Trove Wonders	4864067656855125162	Small World	Nothing of Note
		x		BGK4	3597250383394031406	Small World	Nothing of Note
		x		Bichitos	5641133120275722295	Empty World	
		x	30	Bigada Pros	5650520476093596677	Small World	Nothing of Note
		x	6509	BIGB	4942195055896533676	Medium World	Nice Aesthetics, Spiral Fountain
x	x	x	x	Bine Ai Venit In Clubl Meu	134196223472931847	Small World	Nothing of Note.
x	x	x	424	BioLuminated	8556708837196830019	Small World	Nothing of Note
x	x	x	987	Birdhouse	3627725294564580442	Small World	Nothing of Note.
x	x	x	19	Birimers	6330123600300679365	Small World	Nothing of Note.
x	x	x	x	Black	Redirects to Hub	Redirects to Hub	
x	x	x	x	Black War VN	The World was not found	The World was not found	
x	x	x	x	BlackBullet	2678301790549765298	Empty World	
x	x	x	x	BlackSensation	6658119069112424474	Small World	Nothing of Note
x	x	x	x	Blessed Vale	3326941899533279466	Empty World	
			29	Sazure	4183949567636618706		
x	x	x	9	Patho	5564112578721242909		
	Music		3	ONE P1ECE	3312436094310020892		
		x	34	Block Test	4498396836341843950	Small World	Has a song
x	x	x	x	Blockit	1460070232750271001	Empty World.	
		x	16	Blondin	6504582033282919700	Small World	Nothing of Note
		x		Blood Omen	9127406876636805834	Small World	Nothing of Note
		x		BloodGuild	1889902754860217937	Small World	Nothing of Note.
		x	89	Bloodthorn	5800368826884411263	Small World	Nothing of note
		x		Blue	2167509470983686349	Empty World	Empty World
	x	x	1110	Blue Gang	1849119929284426964	Small world	Nothing of note
		x		bobynaga	1817838856392306136	Small World	Nothing of Note
	x	x	30	Bolux	1038789547829969885	Medium World	Nothing of Note
		x	19	Bomber Boys	3069370388204322392	Small World	Nothing of Note
	x	x	x	Bonestormers Unite	2652816559289592809	Empty World	
		x		Boragost Farms	6993259215697106894	Small World	Nothing of Note
		x		Bounce Race	2665638257141777103	Small World	Nothing of Note
	x	x	x	bountyhunterx41	8878149713932551884	Small world	nothing of note
	x	x	x	Box	Vault World	Vault World	
	x	x	x	Brigitte	4203498524223752361	Small World	Nothing of Note
	x	x	x	Broken Cube	9110369040418959423	Empty World	Empty World
		x	760	Broken Dreams	8375583724790691953	Small World	Nothing of Note.
		x		Broken Keyboards	730828968157310868	Small World	Nothing of Note
		x		Broo Army	7860069921826714265	Small World	Nothing of Note
		x	769	Builders Abode	813379167896767133	Medium World	Nothing of Note
	x	x	x	Building Hive	4468358916528633014	Empty World	
	x	x	x	Buildlords	5678163744633739505	Empty World	
	x	x	x	Buildoholic Workers	8826986652482068920	Empty World	
	x	x	x	burple yurple	2306550711575644223	Small World	Nothing of Note
	x	x	x	Butters Storage	1339702746839525970	Empty World	
		x		ButtsAreAwesome	6021640284887484972	Small World	Nothing of Note
		x		By order of the peaky blinders	3772312931062311534	Empty World	
x	x	x	221	C4 Farm	5014206804325573348	Small World	Nothing of Note
	x	x	x	Canarias	The World was not found	The World was not found	
	x	x	x	CandoriaCafe / Clo's Candy Cafe	3415586293163002258	Empty World	
	x	x	x	CANDY CRUSH ADVENTURE	Vault World	Vault World	
	x	x	x	Candyy	8675460578303948232	Empty World	
	x	x	5	CapiKnights	1162872959847012376	Small World	Nothing of Note
	x	x	x	Capitalist Never Cry	4809325159820964798	Small world	Nothing of note
	x	x	x	Capn And Crew	1374491905284097121	Empty World	Empty World
	x	x	x	Castle Builders	4240371149449342578	Small World	Nothing of Note
		x		Catalyst	8189796668106729155	Small World	Nothing of Note
	x	x	x	CatderlightTH / CocooooHappyHome	537227236475664370	Medium World	Nothing of Note
		x		CatGarden	7025556080089524925	Small World	Nothing of Note
	x	x	x	Caustic	2134723416719173356	Small World	Nothing of Note.
	x	x	x	CEKTOP A	Vault World	Vault World	
		x		Celestial Light	2202074286577903148	Medium World	Nothing of Note
	x	x	x	Celestial x Syndicate	2195100167802569209	Small World	Nothing of Note
		x		Celtic Gaming	3091760442136270456	Small World	Nothing of Note
		x		Centra	6222335871733522135	Empty World	
		x		Cha World	3552451998766473311	Small World	Nothing of Note
		x		chameauxpower	2795240951892170684	Small World	Nothing of Note
	x	x	x	Champions Of The Reckless	3586940066504084347	Small World	Nothing of Note
	x	x	x	Chao Empire	Redirects to Hub	Redirects to Hub	
	x	x	x	Chaos Empire	The World was not found	The World was not found	
		x		Chaos of Darkness	4137300353756784882	Small World	Nothing of Note
		x		Chaos of Tartarus	613964118972210631	Small World	Nothing of Note.
		x		ChaosBringers	2872041325901330484	Small World	Nothing of Note
		x		Chaotic Broskis	3833859763869178639	Small World	Nothing of Note
		x		Chaotic Champions	8316457700298118872	Small World	Nothing of Note
		x		Chapu Warehouse	5742031413761473541	Empty World	
	Club Portals	x		Cheekymonkey land	2440823213412977628	Small World	Nothing of Note.
		x		Chellona	6258006275235171031	Small World	Nothing of Note.
		x		Chevalier Blanc	4160031431116175490	Empty World	
		x		Chicken Inc	6242331446383693086	Empty World	
		x		China Sky	8382324867252426293	Small World	Nothing of Note
		x		Chinalin / King	8835061291598484547	Small World	Nothing of Note
		x		Chitville	8352328667632561860		KeganGunner/s Club World | Trophy Storage
	x	x	277	ChloeHook	1582292002067383504	Massive world	Nothing of Note.
		x		Chronicles of the gods	4246987433256828325	Small World	Nothing of Note
		x		Chrono	6467320641049480039	Empty World	
	x	x	9	Chubby Bears	1388576586647524317	Small World	Nothing of Note.
	x	x	x	Chubby Bears	Vault World	Vault World	
		x		CIA Gaming	571144287138897494	Small World	Nothing of Note
	x	x	x	Cigulibinnaz	1319048163046614545	Small World	Nothing of Note
		x		City Of Ghosts	1870224239909949812	Small World	Nothing of Note
	x	x	x	Clan Do Loko	8025292051309452588	Empty World	Empty World
	x	x	x	Clan Skywarden	1259963463199954329	Small world	nothing of note
		x	126	Classified / Default	2990506085093835687	Small World	Nothing of Note
	x	x	100	Clementine	454325216847509088	Small world	Nothing of note
	x	x	x	Cloud Warfare	4545652240459478579	Small World	Nothing of Note
q	x	x	505	Club Krankee	2028704386567845289	Small World	Nothing of note
		x		Club of the Undead	1644956187923531254	Small World	Nothing of Note
		x		Club Penguini	2280762692231117707	Small World	Nothing of Note
		x		Club Royals	4215597357698898755	Small World	Nothing of Note.
		x		Clubnut	3797997145345453834	Empty World	
	x	x	x	ClunkyCo Warehouse	Vault World	Vault World	
		x		Clvin	30967706824741389	Bot World	
	x	x	x	COBRARENO	The World was not found	The World was not found	
		x		Coffee Society	4440455979668306470	Small World	Nothing of Note.
	x	x	345	Collecters	4985037422828485638	Small World	Nothing of Note.
	x	x	x	Conquerers of Sky	8551290843537820144	Small World	Nothing of Note
		x		Conquetor s Conquest	8776362654766012702	Small World	Nothing of Note
	x	x	x	Consequential	7925848889415921870	Empty World	
		x		CookBook	6714548672792349220	Small World	Nothing of Note
		x		Cookies Tiny World	1860205476211443590	Small World	Nothing of Note.
		x		Coolio Guys	2667699404566425062	Empty World	
		x		Copper Players	1522607639108671882	Small World	Nothing of Note
		x		CoreEagon	3977382080600110948	Empty World	
		x	19	Corruption Inc	5705227471388978541	Small World	Nothing of Note
		X		COTE	53655069867484569	Small World	Nothing of Note
		x		Cottoncanday Club	1797576162904833888	Medium World	Nothing of Note
		x		Covern of Vampires	3494019159021937401	Small World	Nothing of Note
	x	x	25	Cowteam	8073510297950326268	Small World	Nothing of Note.
		x		Craffteed	7735268703451792503	Empty World	
		x	21	CraftwarkIM	8048952346916472733	Small World	Nothing of Note. Has some club portals
x	Club Portals	x	18	Crankys Emporium	8977096523194174765	Small World	Nothing of Note
		x	21	Crazy Wisdom	4048013309970040649	Small World	Nothing of Note
		x		Creation Club	3139172458814302809	Empty World	
	x	x	140	Crimson Shadow Legion	183123406093877636	Small World	Nothing of Note
	x	x	x	Crisis Golosa	Vault World	Vault World	
